Category,Author,Title/Subtitle,Barcode,Circ Type,Description 1,Description 2,Description 3,ISBN,Subject
,,Unbeatable Squirrel Girl : squirrel you know it's true.,T 24331,MS/US Circulating,,,,978-0-7851-9703-4 (pbk.),"Comic books, strips, etc."
,"Achebe, Chinua.",Things fall apart,T 23785,MS/US Circulating,,,,978-0-385-47454-2,Igbo (African people) -- Fiction.
,"Achebe, Chinua.",Things fall apart,T 23785,MS/US Circulating,,,,978-0-385-47454-2,Men -- Nigeria -- Fiction.
,"Achebe, Chinua.",Things fall apart,T 23785,MS/US Circulating,,,,978-0-385-47454-2,Nigeria -- Race relations -- Fiction.
,"Adams, Douglas, 1952-",The hitchhiker's guide to the galaxy,T 23653,MS/US Circulating,,,,978-0-345-39180-3 (pbk.),
,"Adichie, Chimamanda Ngozi, 1977-",The thing around your neck,T 35617,MS/US Circulating,,,,978-9-78480123-2 (pbk.),Bildungsromans.
,"Adichie, Chimamanda Ngozi, 1977-",The thing around your neck,T 35617,MS/US Circulating,,,,978-9-78480123-2 (pbk.),Nigeria -- Fiction.
,"Adichie, Chimamanda Ngozi, 1977-",The thing around your neck,T 35617,MS/US Circulating,,,,978-9-78480123-2 (pbk.),"Short stories, Nigerian (English)"
,"Anderson, John David, 1975-",Sidekicked,T 49170,MS/US Circulating,,,,978-0-06-213314-4,JUVENILE FICTION / Action & Adventure / General.
,"Anderson, John David, 1975-",Sidekicked,T 49170,MS/US Circulating,,,,978-0-06-213314-4,JUVENILE FICTION / Fantasy & Magic.
,"Anderson, John David, 1975-",Sidekicked,T 49170,MS/US Circulating,,,,978-0-06-213314-4,JUVENILE FICTION / Social Issues / Friendship.
,"Anderson, M. T.",Whales on stilts,T 23139,MS/US Circulating,,,,978-0-15-205394-9 (pbk.),
,"Andrews, Jesse,",The Haters,T 24203,MS/US Circulating,,,,978-1-41972078-9,JUVENILE FICTION / Humorous Stories.
,"Andrews, Jesse,",The Haters,T 24203,MS/US Circulating,,,,978-1-41972078-9,JUVENILE FICTION / Performing Arts / Music.
,"Andrews, Jesse,",The Haters,T 24203,MS/US Circulating,,,,978-1-41972078-9,JUVENILE FICTION / Social Issues / Friendship.
